acceptance		приём, признание, принятие, одобрение
advertisement		рекламный, реклама, объявление, анонс
advanced		передовой, прогрессивный
all			всe, любой, целый
and			и
animal			животное, зверь
ashes			зола, пепел
at			при, у, возле
at_least		по_крайней_мере, хотя_бы
back			назад, задний, спина, спинка, поддерживать
bad			злой, плохой
bark			кора
because			потому_что, так_как, вследствие
belly			живот
bidding			торги, предложение цены
big			большой, великий
binding			связь, связывающий, сращивание
bird			птица
bite			грызть, кусать
black			чёрный
blood			кровь
blow			дуть
bone			кость
boundary		граница, пограничный, черта
breast			грудь
breathe			дышать
burn			жечь, гореть
cannot			не_могу
certain			определённый, точный, некоторый
child			ребёнок
cloud			туча, облако
cold			холодный
come			приходить, прийти
confluence		слияние, пересечение, толпа
convert			переделать, переделывать, преобразовать, преобразовывать, реконструировать
correct			правильный
count			считать
crawl			сканировать, ползать
currently		в_настоящее_время, сейчас, настоящий, текущий
cut			резать, рубить
day			день
decision		решение, выбор
dictionary		словарь
die			умирать
different		различный, другой
dig			копать, рыть
dirty			грязный
dog			собака
doing			делающий
drink			пить
dry			сухой
dull			тупой, скучный, тусклый, унылый
during			в_течение
dust			пыль
earth			земля
ear			ухо
eat			есть, кушать
egg			яйцо
engine			мотор, двигатель, механизм
entity			сущность, объект
entry			начальный, входной, вход, въезд
example			пример, образец, экземпляр
exhibit			экспонат, выставка, показывать, выставлять
experience		опыт, стаж
explosion		взрыв, взрывной
eye			глаз
fallacy			ошибка, заблуждение
fall			падать
far			далёкий, дальний
father			отец
fat            		жир, сало
fear			бояться
feather			перо
few			немного, мало, несколько
fight			бороться
fingernail		ноготь
fire			огонь
fish			рыба
five			пять
flexible		гибкий
float			плыть, плавать, сплавляться, буй, поплавок
flower			цветок
flow			течь
fly			летать
fog			туман
foot			стопа
forest			лес
four			четыре
freeze			замерзать, замораживать, блокировать
from scratch		с_нуля
fruit			плод, фрукт
full			полный
give			давать
good			хороший, добрый, полезный, добро, польза
grass			трава
green			зелёный
guts			внутренности, кишки
habit			привычка, традиция, обычай, особенность
hair			волосы
hand			рука, ладонь
have			иметь, обладать, получать
head			голова
heart			сердце
hear			слышать
heavy			тяжёлый
here			здесь, тут
he			он
hire			нанимать, наём
hit			ударить
hold			держать
horn			рог
how			как
human			человек
hunt			ловить, охотиться
husband			муж, супруг
ice			лёд
if			если
inconsistent		несовместимый, несоответствующий
indentation		углубление, вырез, отпечаток, отступ
instant			момент, мгновенный, мгновение, текущий, немедленный
interior		интерьер, внутренняя_поверхность
intermediate		средний, промежуточный
into			в, к, на
invite			приглашать, призывать
involving		с_участием, включающий, предусматривающий
in			в
issue			вопрос, проблема
I			я
kill			убивать
knee			колено
know			знать
lake			озеро
large			большой, крупный, значительный
laugh			смеяться
lead			вести, руководить, управлять, командовать
leaf			лист
left			левый
leg			нога
lie			лежать
listen			слушать, выслушивание
little			маленький
liver			печень
live			жить
long			длинный, долгий
looking			ищущий, глядящий, следящий
look			смотреть, искать
louse			вошь
male			мужчина, мужской
many			много
man			человек, мужчина
meat			мясо
mine			добывать, рудник, шахта
mining			добыча
moon			луна, месяц
mother			мать
mountain		гора
mouth			рот
мust_have		должно_быть
name			имя
narrow			узкий
near			близкий
neck			шея
need			нужно, необходимо
new			новый
night			ночь
nose			нос
not			не
old			старый
one_time		один_раз
one			один
ongoing			постоянный
opportunity		возможность, перспектива
other			другой, иной
pipe			труба
play			играть
prediction		прогноз, предсказание, пророчество
produce			продукт, продукция, изделие, производить, изготавливать
proposal		заявка, предложение
pull			тянуть
push			толкать, проталкивать, пихать, нажимать, продвигать
quote			цитата, выдержка
rain			дождь
rating			ранг, разряд, оценка
recency			новизна, свежесть
red			красный
related			связанный
relative		относительный, условный, взаимный, родственник
relevance		уместность, актуальность, значимость, важность
render			исполнять, передавать, оказывать
require			нуждаться, требовать, обязательный
research		исследование, изучение, изыскание
respective		соответствующий, соответственный, соответственно
response		ответ, отклик
reusable		многоразовый, повторно_используемый
right			правильный, правый
river			река
road			дорога, путь
root			корень
rope			верёвка, шнур
rotten			гнилой
round			круглый
rub			тереть
salt			соль
sand			песок
say			говорить, сказать
scraping		выскабливание
scrap			вырезка
scratch			царапать
sea			море
seed			семя, семена
see			видеть
self			сам, себя, само, собственная_личность
several			несколько, некоторый
sew			шить
sharp			чёткий, острый, определённый
short			короткий
shortcut		ярлык
since			после, впоследствии, после_того, так_как
signup			регистрация
sing			петь
sit			сидеть
skin			кожа, шкура
sky			небо
sleep			спать
small			маленький, мелкий, небольшой, низкий, слабый
smell			нюхать, чуять
smoke			дым
smooth			гладкий, ровный
snake			змея
snow			снег
someone			кто-то, некто
some			некоторый, несколько, некий
spending		затраты, расходы
spit			плевать
split			разделить, разделять
spoken			разговорный, устный
spreadsheet		таблица
squeeze			сжимать
stab			кольнуть, колоть
stand			стоять, вставать, находиться, стенд, стойка
star			звезда
statement		отчет, изложение, заявление
stats			статистика
stick			палка
stone			камень
straight		прямой
suck			сосать
sun			солнце
supplier		поставщик
swell			пухнуть
swim			плавать
tail			хвост, конец, задний, хвостовой
task			задача
term			условие, срок, период
that			тот, та, то
there			там
they			они
thick			толстый
think			думать
thin			тонкий
this			этот, эта, это
those			те, то
thou			ты
three			три
throw			бросать, кидать
tie			вязать, связывать
title			заголовок, заглавие, название, надпись
tongue			язык
tooth			зуб
town			город
tree			дерево
turn			обращать, оборот, поворот, изменить_направление
two			два
understanding		понимание, осмысление, соглашение
vehicle			автомобиль
vomit			рвать, блевать
walk			ходить, идти
warm			тёплый, горячий
wash			мыть, умывать
watch			смотреть, наблюдать, следить, караулись, вахта, дозор
water			вода
wet			мокрый, сырой, жидкий, мочить, влажность, сырость
we			мы
what			что
when			когда, как_только, если, хотя, который
where			где
while			пока, хотя, не_смотря_на
white			белый
who			кто
wide			широкий
wife			жена, супруга
wind			ветер
wing			крыло
wipe			вытирать
within			не_позднее, в_течение, внутри, в_пределах
with			с, от, за, у, со, причём
woman			женщина
worm			червь
year			год
yellow			жёлтый
you			вы, ты
